UID          PID    PPID  C STIME TTY          TIME CMD
praveen+    1152    1059  0 18:36 ?        00:00:00 /usr/lib/aarch64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/aarch64-linux-gnu/xfce4/panel/plugins/libnotification-plugin.so 17 16777232 notification-plugin Notification Plugin Notification plugin for the Xfce panel
praveen+    1157    1059  0 18:36 ?        00:00:00 /usr/lib/aarch64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/aarch64-linux-gnu/xfce4/panel/plugins/libxfce4powermanager.so 18 16777233 power-manager-plugin Power Manager Plugin Display the battery levels of your devices and control the brightness of your display
praveen+    1189    1059  0 18:36 ?        00:00:00 /usr/lib/aarch64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/aarch64-linux-gnu/xfce4/panel/plugins/libactions.so 2200 16777234 actions Action Buttons Log out, lock or other system actions
praveen+    1197       1  0 18:36 ?        00:00:00 xcape -e Super_L Control_L Escape
praveen+    1302     888  0 18:36 ?        00:00:00 /usr/libexec/bluetooth/obexd
praveen+    1303     888  0 18:36 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
root        1307       1  0 18:36 ?        00:00:00 /usr/libexec/udisks2/udisksd
praveen+    1317     888  0 18:36 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
praveen+    1322     888  0 18:36 ?        00:00:00 /usr/libexec/gvfs-afc-volume-monitor
praveen+    1328     888  0 18:36 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
praveen+    1333     888  0 18:36 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
praveen+    1347    1028  0 18:36 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.20 /org/gtk/gvfs/exec_spaw/0
praveen+    1361     888  0 18:36 ?        00:00:00 /usr/libexec/gvfsd-metadata
praveen+    2019       1  0 18:37 ?        00:00:15 /usr/bin/qterminal
praveen+    2022    2019  0 18:37 pts/0    00:00:05 /usr/bin/zsh
root        5821       1  0 18:41 ?        00:00:00 /lib/systemd/systemd-journald
root        5823       2  0 18:41 ?        00:00:00 [psimon]
root       13305       1  0 18:43 ?        00:00:00 /usr/sbin/qemu-ga
root       13309       2  0 18:43 ?        00:00:00 [kworker/3:3-cgroup_destroy]
systemd+   14991       1  0 18:43 ?        00:00:00 /lib/systemd/systemd-timesyncd
root       14994       2  0 18:43 ?        00:00:00 [psimon]
root       15080       1  0 18:43 ?        00:00:00 /lib/systemd/systemd-udevd
root       15081       2  0 18:43 ?        00:00:00 [kworker/1:0-events]
root       15083       2  0 18:43 ?        00:00:00 [psimon]
root       15426       2  0 18:44 ?        00:00:00 [kworker/u8:4-flush-254:0]
root       26216       1  0 18:44 ?        00:00:00 /usr/sbin/cron -f
root       27755       1  0 18:44 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
root       40325       2  0 18:45 ?        00:00:00 [psimon]
praveen+   54269    1064  0 18:55 ?        00:00:00 thunar-volman --device-added /sys/devices/pci0000:00/0000:00:04.0/usb1/1-4/1-4.1/1-4.1:1.0/host0/target0:0:0/0:0:0:0/block/sr0
root       64760       2  0 19:16 ?        00:00:00 [kworker/3:1-mm_percpu_wq]
root       64887       2  0 19:16 ?        00:00:00 [kworker/2:0-mm_percpu_wq]
root       64913       2  0 19:16 ?        00:00:00 [kworker/u8:2-events_unbound]
root       66007       2  0 19:19 ?        00:00:00 [kworker/2:3-events]
root       68476       2  0 19:24 ?        00:00:00 [kworker/0:0-events]
root       71261       2  0 19:29 ?        00:00:00 [kworker/0:2-events]
root       73505       2  0 19:33 ?        00:00:00 [kworker/1:2]
root       74257       2  0 19:34 ?        00:00:00 [kworker/0:1-mm_percpu_wq]
root       76374       2  0 19:39 ?        00:00:00 [kworker/3:0]
root       76679       2  0 19:39 ?        00:00:00 [kworker/0:3]
praveen+   78982    2022  0 19:44 pts/0    00:00:00 ps -ef
